chip,nmos,pattern,fet_size,filename,Vth_Vd1V,Vth_Vd5V,Vth_Vd10V,Vth_Vd200mV,Vd_ref_V,Ion_A,Ioff_A,Ron_ohm,Roff_ohm,Ion_Ioff_ratio
19,7,2,nmos7_pattern2,nmos7 pattern2 chip19.xls,0.7736313164273823,1.270414692169116,1.3962182383335602,0.23286107849662518,5.0,0.0036520797293633223,2.3509367110818857e-06,1369.0829254901466,2126811.826294989,1553.4572717964231
19,7,3,nmos7_pattern3,nmos7 pattern3 chip19.xls,-0.014604848952418426,1.4470897709384003,1.7719086692025208,-0.21090390585129398,5.0,0.0025790869258344173,3.877885683323257e-05,1938.6706007911462,128936.24021724946,66.50755428211077
19,7,4,nmos7_pattern4,nmos7 pattern4 chip19.xls,0.3788486702274976,1.0302535419282015,1.2271517214921057,0.0559343010840162,5.0,0.002995900809764862,1.0006326647271635e-06,1668.9471105661983,4996838.676422101,2994.006607391471
19,7,5,nmos7_pattern5,nmos7 pattern5 chip19.xls,0.5406299283770628,1.2943145130002998,1.3679398774643499,-0.002049883888262549,5.0,0.003162070643156767,6.1169457694632e-06,1581.242345366575,817401.3941664847,516.9361904338508
19,7,6,nmos7_pattern6,nmos7 pattern6 chip19.xls,0.6727669552427638,1.4900739181037164,1.7793540429215513,0.1860111121156096,5.0,0.000941427075304091,1.2545890967885498e-05,5311.085830397375,398536.86061825446,75.03867821854348
19,7,7,nmos7_pattern7,nmos7 pattern7 chip19.xls,0.4307517009049475,1.1534957632481313,1.326932790034451,0.07466268866190284,5.0,0.0033226872328668833,4.065563189215027e-06,1504.8060950611643,1229841.9105288566,817.2760029117695
50,1,1,nmos1_pattern1,nmos1 pattern1 chip50.xls,2.5740272242212217,2.8592027923310863,3.234355108284239,2.1581762796887203,5.0,0.003277142997831106,9.690679689811077e-07,1525.7192021553906,5159596.808526314,3381.747310538746
50,1,2,nmos1_pattern2,nmos1 pattern2 chip50.xls,3.3344197252278547,3.326159240105602,3.6067265444791485,2.4459456003793942,5.0,0.003439062274992466,3.448567440500483e-07,1453.8846930333511,14498774.016361881,9972.437350662229
50,1,3,nmos1_pattern3,nmos1 pattern3 chip50.xls,3.433303562293505,3.9537867175869947,3.7030156444610305,2.554239301182732,5.0,0.003691460471600294,3.901139677964238e-07,1354.477459115914,12816767.439122273,9462.51807504272
50,1,4,nmos1_pattern4,nmos1 pattern4 chip50.xls,3.676438312920847,3.718092237393387,3.592943506834002,2.9410066570045936,5.0,0.002899365732446313,5.802595296700019e-06,1724.5151048195967,861683.3924026269,499.66706003005316
50,1,6,nmos1_pattern6,nmos1 pattern6 chip50.xls,3.7317191451483023,4.036573861846609,3.8598815917604115,3.087766610811694,5.0,0.00275088450871408,4.1064822653424926e-07,1817.5972070660591,12175871.40750256,6698.883206998698
